location,mean_lat,mean_lon,listing_count
green cap housing society,31.398667468787878,74.35492346075758,66
gulfishan colony,31.414502859545454,73.11833359424242,66
kahna,31.373476922000002,74.36263981323077,65
burma town,33.6445818096875,73.12628563796875,64
susan road,31.423132484375,73.1162610625,64
rachna town,31.390579014843752,73.11579263390625,64
people colony,33.593326,73.028933,63
bankers co-operative housing society,31.450073460317462,74.39466520634922,63
gulshan-e-lahore,31.424589809523813,74.25246825396825,63
khurram colony,33.62580652435484,73.0937218064516,62
kurri road,33.63594754032258,73.09088868467742,62
dhamyal road,33.55643888064516,73.02466912806452,62
islamabad expressway,33.624556859016394,73.11747398508196,61
saadi road,24.946930453278686,67.16212853032786,61
ghous garden,31.586342508196722,74.47895632786886,61
iqbal park,31.5897830252459,74.31163392770492,61
f-15,33.64182671933334,72.9188427535,60
jaranwala road,31.409774494833336,73.17519798083335,60
manawan,31.590754374333336,74.47852733250001,60
ichhra,31.533597539827586,74.31632525120689,58
allahabad road,33.61429105344827,73.00763518568967,58
nawab town,31.452671207586203,74.24907384034483,58
fateh garh,31.57055440350877,74.40174068807018,57
shadbagh,31.6025179825,74.34010822196429,56
al hafeez gardens,31.589029035714283,74.47609803571429,56
baghbanpura,31.584624263392858,74.37280608178571,56
peoples colony no 2,31.39765884709091,73.09756502781818,55
airport road,32.14568657327273,74.01146839781818,55
judicial colony,32.12129445927273,73.90188368109091,55
hill park,24.86817629222222,67.07121319611112,54
askari 13,33.56948428314814,73.06464513166667,54
green city,31.520394037735848,74.46099679245283,53
chakra road,33.58949265849056,72.98589391660377,53
punjab university employees society,31.429137245384617,74.23862978288462,52
shaheen town,33.634264033076924,73.19328691403845,52
iqbal avenue,31.44016598076923,74.25062525,52
opf housing scheme,31.422475375294116,74.23863614666666,51
dhoke syedan,33.526416,72.644958,51
punjab small industries colony,31.476512000000003,74.418805,51
kuri road,33.6787158928,73.16245980859999,50
pwd road,33.56723393877551,73.13498732653062,49
audit & accounts housing society,31.398017408163266,74.27068730612244,49
yousaf town,31.510607005714288,73.06580730632652,49
harley street,33.576106968124996,73.04447707604167,48
omega homes,31.6170339375,74.21750411395833,48
rail view housing society,33.59691216520833,73.11965353541667,48
lahore garden housing scheme,31.5905539375,74.20821906249999,48
chungi amar sadhu,31.44995821625,74.35433865854166,48
landhi,24.83861925212766,67.17934178170212,47
